Exercise,Short YouTube Demonstration,In-Depth YouTube Explanation,Difficulty Level,Target Muscle Group ,Prime Mover Muscle,Secondary Muscle,Tertiary Muscle,Primary Equipment ,# Primary Items,Secondary Equipment,# Secondary Items,Posture,Single or Double Arm,Continuous or Alternating Arms ,Grip,Load Position (Ending),Foot Elevation,Combination Exercises,Movement Pattern #1,Movement Pattern #2,Movement Pattern #3,Plane Of Motion #1,Plane Of Motion #2,Plane Of Motion #3,Body Region,Force Type,Mechanics,Laterality,Primary Exercise Classification
Single Arm Suspension Single Leg Standing Bent Knee Contralateral Low Row,,,Advanced,Back,Latissimus Dorsi,Biceps Brachii,,Suspension Trainer,1,None,0,Single Leg Standing Bent Knee,Single Arm,Continuous,Neutral,No Load,No Elevation,Single Exercise,Horizontal Pull,,,Sagittal Plane,,,Upper Body,Pull,Compound,Contralateral,Balance
Single Arm Suspension Single Leg Standing Bent Knee Ipsilateral Low Row,,,Advanced,Back,Latissimus Dorsi,Biceps Brachii,,Suspension Trainer,1,None,0,Single Leg Standing Bent Knee,Single Arm,Continuous,Neutral,No Load,No Elevation,Single Exercise,Horizontal Pull,,,Sagittal Plane,,,Upper Body,Pull,Compound,Ipsilateral,Balance
Suspension Single Leg Standing Bent Knee Bicep Curl,,,Intermediate,Biceps,Biceps Brachii,Brachialis,Brachioradialis,Suspension Trainer,1,None,0,Single Leg Standing Bent Knee,Double Arm,Continuous,Supinated,No Load,No Elevation,Single Exercise,Elbow Flexion,,,Sagittal Plane,,,Upper Body,Pull,Isolation,Unilateral,Balance
Single Arm Suspension Single Leg Standing Bent Knee Contralateral Bicep Curl,,,Advanced,Biceps,Biceps Brachii,Brachialis,Brachioradialis,Suspension Trainer,1,None,0,Single Leg Standing Bent Knee,Single Arm,Continuous,Supinated,No Load,No Elevation,Single Exercise,Elbow Flexion,,,Sagittal Plane,,,Upper Body,Pull,Isolation,Contralateral,Balance
Single Arm Suspension Single Leg Standing Bent Knee Ipsilateral Bicep Curl,,,Advanced,Biceps,Biceps Brachii,Brachialis,Brachioradialis,Suspension Trainer,1,None,0,Single Leg Standing Bent Knee,Single Arm,Continuous,Supinated,No Load,No Elevation,Single Exercise,Elbow Flexion,,,Sagittal Plane,,,Upper Body,Pull,Isolation,Ipsilateral,Balance
Single Arm Plate Teacup,,Video Explanation,Intermediate,Shoulders,Posterior Deltoids,Anterior Deltoids,,Weight Plate,1,None,0,Standing,Single Arm,Continuous,Supinated,Other,No Elevation,Single Exercise,Rotational,,,Transverse Plane,,,Upper Body,Unsorted*,Compound,Unilateral,Mobility
Ring L Sit Chin Up,Video Demonstration,,Advanced,Biceps,Biceps Brachii,Latissimus Dorsi,Rectus Abdominis,Gymnastic Rings,2,None,0,Hanging,Double Arm,Continuous,Supinated,No Load,No Elevation,Single Exercise,Vertical Pull,Isometric Hold,,Sagittal Plane,,,Upper Body,Pull,Compound,Bilateral,Calisthenics
Single Ring L Sit Chin Up,Video Demonstration,,Advanced,Biceps,Biceps Brachii,Latissimus Dorsi,Rectus Abdominis,Gymnastic Rings,1,None,0,Hanging,Double Arm,Continuous,Supinated,No Load,No Elevation,Single Exercise,Vertical Pull,Isometric Hold,,Sagittal Plane,,,Upper Body,Pull,Compound,Bilateral,Calisthenics
Barbell Front Rack Bulgarian Split Squat,Video Demonstration,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Barbell,1,Bench (Flat),1,Single Leg Supported,Double Arm,Continuous,Pronated,Front Rack,Foot Elevated (Rear),Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Barbell Back Rack Bulgarian Split Squat,Video Demonstration,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Barbell,1,Bench (Flat),1,Single Leg Supported,Double Arm,Continuous,Pronated,Back Rack,Foot Elevated (Rear),Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Single Arm Suspension Contralateral Pistol Squat,Video Demonstration,,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Suspension Trainer,1,None,0,Single Leg Standing,Single Arm,Continuous,Neutral,No Load,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Contralateral,Balance
Barbell Front Rack Alternating Curtsy Lunge,Video Demonstration,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Barbell,1,None,0,Standing,Double Arm,Continuous,Pronated,Front Rack,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Bodyweight Dragon Flag,Video Demonstration,Video Explanation,Advanced,Abdominals,Rectus Abdominis,,,Bodyweight,1,None,0,Supine,Double Arm,Continuous,Pronated,No Load,No Elevation,Single Exercise,Isometric Hold,,,Sagittal Plane,,,Midsection,Other,Compound,Bilateral,Calisthenics
Single Arm Kettlebell Front Rack Ipsilateral Bulgarian Split Squat,,Video Explanation,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell,1,Bench (Flat),1,Single Leg Supported,Single Arm,Continuous,Neutral,Front Rack,Foot Elevated (Rear),Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Ipsilateral,Bodybuilding
Ring Iron Cross,Video Demonstration,Video Explanation,Master,Back,Latissimus Dorsi,Biceps Brachii,,Gymnastic Rings,2,None,0,Hanging,Double Arm,Continuous,Pronated,No Load,No Elevation,Single Exercise,Isometric Hold,,,Sagittal Plane,,,Upper Body,Unsorted*,Compound,Bilateral,Calisthenics
Parallette Tuck Planche Push Up,Video Demonstration,,Expert,Chest,Pectoralis Major,Triceps Brachii,Rectus Abdominis,Parallette Bars,2,None,0,Other,Double Arm,Continuous,Neutral,No Load,No Elevation,Single Exercise,Horizontal Push,Isometric Hold,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Calisthenics
Parallette Full Planche,Video Demonstration,,Expert,Abdominals,Rectus Abdominis,,,Parallette Bars,2,None,0,Prone,Double Arm,Continuous,Neutral,No Load,No Elevation,Single Exercise,Isometric Hold,,,Sagittal Plane,,,Unsorted*,Other,Compound,Bilateral,Calisthenics
Parallette Full Planche Push Up,,,Master,Chest,Pectoralis Major,Triceps Brachii,Rectus Abdominis,Parallette Bars,2,None,0,Prone,Double Arm,Continuous,Neutral,No Load,No Elevation,Single Exercise,Horizontal Push,Isometric Hold,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Calisthenics
Ring Inverted Iron Cross,Video Demonstration,,Grand Master,Back,Latissimus Dorsi,Biceps Brachii,,Gymnastic Rings,2,None,0,Inverted,Double Arm,Continuous,Neutral,No Load,No Elevation,Single Exercise,Isometric Hold,,,Sagittal Plane,,,Unsorted*,Unsorted*,Compound,Bilateral,Calisthenics
Ring Maltese Push Up,Video Demonstration,,Expert,Chest,Pectoralis Major,Triceps Brachii,,Gymnastic Rings,2,None,0,Prone,Double Arm,Continuous,Supinated,No Load,No Elevation,Single Exercise,Horizontal Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Calisthenics
Ring Tuck Planche,Video Demonstration,,Advanced,Abdominals,Rectus Abdominis,Biceps Brachii,,Gymnastic Rings,2,None,0,Other,Double Arm,Continuous,Neutral,No Load,No Elevation,Single Exercise,Isometric Hold,,,Sagittal Plane,,,Unsorted*,Other,Compound,Bilateral,Calisthenics
Ring Tuck Planche Push Up,,,Expert,Chest,Pectoralis Major,Triceps Brachii,Rectus Abdominis,Gymnastic Rings,2,None,0,Other,Double Arm,Continuous,Neutral,No Load,No Elevation,Single Exercise,Horizontal Push,Isometric Hold,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Calisthenics
Ring Full Planche,,,Master,Abdominals,Rectus Abdominis,,,Gymnastic Rings,2,None,0,Prone,Double Arm,Continuous,Supinated,No Load,No Elevation,Single Exercise,Isometric Hold,,,Sagittal Plane,,,Unsorted*,Other,Compound,Bilateral,Calisthenics
Ring Full Planche Push Up,,,Grand Master,Chest,Pectoralis Major,Triceps Brachii,Rectus Abdominis,Gymnastic Rings,2,None,0,Prone,Double Arm,Continuous,Supinated,No Load,No Elevation,Single Exercise,Horizontal Push,Isometric Hold,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Calisthenics
Ring Grip Full Planche Push Up,,,Legendary,Chest,Pectoralis Major,Triceps Brachii,Rectus Abdominis,Gymnastic Rings,2,None,0,Prone,Double Arm,Continuous,Neutral,No Load,No Elevation,Single Exercise,Horizontal Push,Isometric Hold,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Calisthenics
Ring Grip Full Planche,,,Grand Master,Abdominals,Rectus Abdominis,,,Gymnastic Rings,2,None,0,Prone,Double Arm,Continuous,Supinated,No Load,No Elevation,Single Exercise,Isometric Hold,,,Sagittal Plane,,,Unsorted*,Other,Compound,Bilateral,Calisthenics
Bodyweight Full Planche,Video Demonstration,,Expert,Abdominals,Rectus Abdominis,,,Bodyweight,1,None,0,Prone,Double Arm,Continuous,Flat Palm,No Load,No Elevation,Single Exercise,Isometric Hold,,,Sagittal Plane,,,Unsorted*,Other,Compound,Bilateral,Calisthenics
Cable Quadruped Hip Abduction,Video Demonstration,,Novice,Abductors,Gluteus Medius,Gluteus Minimus,,Cable,1,None,0,Quadruped,No Arms,Continuous,Flat Palm,Other,No Elevation,Single Exercise,Hip Abduction,,,Sagittal Plane,,,Lower Body,Other,Isolation,Unilateral,Unsorted*
Single Arm Kettlebell Bottoms Up Single Leg Standing Bent Knee Ipsilateral Overhead Press,,,Advanced,Shoulders,Anterior Deltoids,Triceps Brachii,,Kettlebell,1,None,0,Single Leg Standing Bent Knee,Single Arm,Continuous,Bottoms Up,Overhead,No Elevation,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Ipsilateral,Balance
Double Kettlebell Turkish Get Up,Video Demonstration,Video Explanation,Advanced,Abdominals,Obliques,Rectus Abdominis,,Kettlebell,2,None,0,Supine,Double Arm,Continuous,Pronated,Overhead,No Elevation,Single Exercise,Rotational,,,Transverse Plane,Sagittal Plane,,Full Body,Other,Compound,Bilateral,Grinds
Parallette L Sit to Tuck Planche Push Up,,Video Explanation,Expert,Chest,Pectoralis Major,Triceps Brachii,Rectus Abdominis,Parallette Bars,2,None,0,Other,Double Arm,Continuous,Neutral,No Load,No Elevation,Combo Exercise,Horizontal Push,Isometric Hold,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Calisthenics
Ring L Sit to Tuck Planche Push Up,,,Expert,Chest,Pectoralis Major,Triceps Brachii,Rectus Abdominis,Gymnastic Rings,2,None,0,Other,Double Arm,Continuous,Neutral,No Load,No Elevation,Combo Exercise,Horizontal Push,Isometric Hold,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Calisthenics
Parallette Straddle Planche,Video Demonstration,,Expert,Abdominals,Rectus Abdominis,,,Parallette Bars,2,None,0,Prone,Double Arm,Continuous,Neutral,No Load,No Elevation,Single Exercise,Isometric Hold,,,Sagittal Plane,,,Unsorted*,Other,Compound,Bilateral,Calisthenics
Parallette Straddle Planche Push Up,,,Master,Chest,Pectoralis Major,Triceps Brachii,Rectus Abdominis,Parallette Bars,2,None,0,Prone,Double Arm,Continuous,Neutral,No Load,No Elevation,Single Exercise,Horizontal Push,Isometric Hold,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Calisthenics
Ring Straddle Planche,,,Master,Abdominals,Rectus Abdominis,,,Gymnastic Rings,2,None,0,Prone,Double Arm,Continuous,Supinated,No Load,No Elevation,Single Exercise,Isometric Hold,,,Sagittal Plane,,,Unsorted*,Other,Compound,Bilateral,Calisthenics
Ring Straddle Planche Push Up,,,Grand Master,Chest,Pectoralis Major,Triceps Brachii,Rectus Abdominis,Gymnastic Rings,2,None,0,Prone,Double Arm,Continuous,Supinated,No Load,No Elevation,Single Exercise,Horizontal Push,Isometric Hold,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Calisthenics
Barbell Turkish Sit Up,Video Demonstration,,Intermediate,Abdominals,Rectus Abdominis,,,Barbell,1,None,0,Supine,Double Arm,Continuous,Pronated,Overhead,No Elevation,Single Exercise,Spinal Flexion,,,Sagittal Plane,,,Midsection,Other,Compound,Bilateral,Unsorted*
Plate Turkish Sit Up,Video Demonstration,,Intermediate,Abdominals,Rectus Abdominis,,,Weight Plate,1,None,0,Supine,Double Arm,Continuous,Neutral,Overhead,No Elevation,Single Exercise,Spinal Flexion,,,Sagittal Plane,,,Midsection,Other,Compound,Bilateral,Unsorted*
Barbell Seated Overhead Press,Video Demonstration,,Novice,Shoulders,Anterior Deltoids,Triceps Brachii,,Barbell,1,Bench (Flat),1,Seated,Double Arm,Continuous,Pronated,Overhead,No Elevation,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Bodybuilding
Single Arm Barbell Turkish Sit Up,,,Advanced,Abdominals,Rectus Abdominis,,,Barbell,1,None,0,Supine,Single Arm,Continuous,Pronated,Overhead,No Elevation,Single Exercise,Spinal Flexion,,,Sagittal Plane,,,Midsection,Other,Compound,Bilateral,Unsorted*
Dumbbell Crush Grip Romanian Deadlift,Video Demonstration,,Beginner,Hamstrings,Biceps Femoris,Gluteus Maximus,,Dumbbell,1,None,0,Standing,Double Arm,Continuous,Crush Grip,Other,No Elevation,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Lower Body,Pull,Compound,Bilateral,Bodybuilding
Ring Pelican Curl,Video Demonstration,Video Explanation,Advanced,Biceps,Biceps Brachii,Pectoralis Major,,Gymnastic Rings,2,None,0,Standing,Double Arm,Continuous,Supinated,No Load,No Elevation,Single Exercise,Elbow Flexion,,,Sagittal Plane,,,Upper Body,Pull,Compound,Bilateral,Calisthenics
Double Kettlebell Knee Over Toe Split Squat Thruster,,,Advanced,Shoulders,Anterior Deltoids,Quadriceps Femoris,Gluteus Maximus,Kettlebell,2,None,0,Knee Over Toe Split Squat,Double Arm,Continuous,Pronated,Overhead,No Elevation,Combo Exercise,Vertical Push,Knee Dominant,,Sagittal Plane,,,Full Body,Push,Compound,Unilateral,Bodybuilding
Double Kettlebell Bottoms Up Knee Over Toe Split Squat Thruster,,,Advanced,Shoulders,Anterior Deltoids,Quadriceps Femoris,Gluteus Maximus,Kettlebell,2,None,0,Knee Over Toe Split Squat,Double Arm,Continuous,Bottoms Up,Overhead,No Elevation,Combo Exercise,Vertical Push,Knee Dominant,,Sagittal Plane,,,Full Body,Push,Compound,Unilateral,Bodybuilding
Ring Chin Up,Video Demonstration,,Intermediate,Biceps,Biceps Brachii,Latissimus Dorsi,,Gymnastic Rings,2,None,0,Hanging,Double Arm,Continuous,Supinated,No Load,No Elevation,Single Exercise,Vertical Pull,,,Sagittal Plane,,,Upper Body,Pull,Compound,Bilateral,Calisthenics
Ring Two Finger Chin Up,,,Advanced,Biceps,Biceps Brachii,Latissimus Dorsi,,Gymnastic Rings,2,None,0,Hanging,Double Arm,Continuous,Supinated,No Load,No Elevation,Single Exercise,Vertical Pull,,,Sagittal Plane,,,Upper Body,Pull,Compound,Bilateral,Calisthenics
Dumbbell Crush Grip Bent Over Row,Video Demonstration,,Beginner,Back,Latissimus Dorsi,Rhomboids,Posterior Deltoids,Dumbbell,1,None,0,Standing,Double Arm,Continuous,Crush Grip,Other,No Elevation,Single Exercise,Horizontal Pull,,,Sagittal Plane,,,Upper Body,Pull,Compound,Bilateral,Bodybuilding
Dumbbell Crush Grip Bicep Curl to Overhead Press,Video Demonstration,,Beginner,Shoulders,Anterior Deltoids,Biceps Brachii,,Dumbbell,1,None,0,Standing,Double Arm,Continuous,Crush Grip,Overhead,No Elevation,Combo Exercise,Vertical Push,Elbow Flexion,,Sagittal Plane,,,Upper Body,Push & Pull,Compound,Bilateral,Bodybuilding
Dumbbell Crush Grip Overhead Press,Video Demonstration,,Beginner,Shoulders,Anterior Deltoids,Triceps Brachii,,Dumbbell,1,None,0,Standing,Double Arm,Continuous,Crush Grip,Overhead,No Elevation,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Bodybuilding
Dumbbell Crush Grip Hollow Body Hold with Flutter Kicks,Video Demonstration,,Intermediate,Abdominals,Rectus Abdominis,,,Dumbbell,1,None,0,Supine,Double Arm,Continuous,Crush Grip,Other,No Elevation,Single Exercise,Isometric Hold,,,Sagittal Plane,,,Midsection,Other,Compound,Unilateral,Unsorted*
Dumbbell Crush Grip Floor Press,Video Demonstration,,Beginner,Chest,Pectoralis Major,Triceps Brachii,,Dumbbell,1,None,0,Supine,Double Arm,Continuous,Crush Grip,Above Chest,No Elevation,Single Exercise,Horizontal Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Bodybuilding
Parallette Crow Pose,Video Demonstration,,Intermediate,Abdominals,Rectus Abdominis,,,Parallette Bars,2,None,0,Inverted,Double Arm,Continuous,Neutral,No Load,No Elevation,Single Exercise,Isometric Hold,,,Sagittal Plane,,,Unsorted*,Other,Compound,Bilateral,Calisthenics
Dumbbell Crush Grip Z Press,Video Demonstration,,Novice,Shoulders,Anterior Deltoids,Triceps Brachii,,Dumbbell,1,None,0,Seated Floor,Double Arm,Continuous,Crush Grip,Overhead,No Elevation,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Bodybuilding
Single Arm Kettlebell Bottoms Up Knee Over Toe Split Squat Thruster,,,Advanced,Shoulders,Anterior Deltoids,Quadriceps Femoris,Gluteus Maximus,Kettlebell,1,None,0,Knee Over Toe Split Squat,Single Arm,Continuous,Bottoms Up,Overhead,No Elevation,Combo Exercise,Vertical Push,Knee Dominant,,Sagittal Plane,,,Full Body,Push,Compound,Unilateral,Bodybuilding
Dumbbell Crush Grip Overhead Tricep Extension,Video Demonstration,,Beginner,Triceps,Triceps Brachii ,,,Dumbbell,1,None,0,Standing,Double Arm,Continuous,Crush Grip,Overhead,No Elevation,Single Exercise,Elbow Extension,,,Sagittal Plane,,,Upper Body,Push,Isolation,Bilateral,Bodybuilding
Kettlebell Bottoms Up Horn Grip Goblet Bulgarian Split Squat,,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell,1,Bench (Flat),1,Single Leg Supported,Double Arm,Continuous,Bottoms Up Horn Grip,Front Rack,Foot Elevated (Rear),Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Double Kettlebell Snatch to Overhead Squat,Video Demonstration,,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell,2,None,0,Standing,Double Arm,Continuous,Pronated,Overhead,No Elevation,Combo Exercise,Hip Hinge,Knee Dominant,,Sagittal Plane,,,Full Body,Unsorted*,Compound,Bilateral,Ballistics
Barbell Half Kneeling Overhead Press,,Video Explanation,Novice,Shoulders,Anterior Deltoids,Triceps Brachii,,Barbell,1,None,0,Half Kneeling,Double Arm,Continuous,Pronated,Overhead,No Elevation,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Unilateral,Bodybuilding
Barbell Tall Kneeling Overhead Press,Video Demonstration,Video Explanation,Novice,Shoulders,Anterior Deltoids,Triceps Brachii,,Barbell,1,None,0,Tall Kneeling,Double Arm,Continuous,Pronated,Overhead,No Elevation,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Bodybuilding
Single Arm Kettlebell Half Kneeling Dead Clean,,,Intermediate,Glutes,Gluteus Maximus,,,Kettlebell,1,None,0,Half Kneeling,Single Arm,Continuous,Neutral,Front Rack,No Elevation,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Full Body,Unsorted*,Compound,Unilateral,Ballistics
Barbell Overhead March,Video Demonstration,,Intermediate,Abdominals,Rectus Abdominis,,,Barbell,1,None,0,March,Double Arm,Continuous,Pronated,Overhead,No Elevation,Single Exercise,,,,Sagittal Plane,,,Midsection,Other,Compound,Unilateral,Balance
Single Arm Barbell Overhead March,,,Advanced,Abdominals,Rectus Abdominis,,,Barbell,1,None,0,March,Single Arm,Continuous,Pronated,Overhead,No Elevation,Single Exercise,,,,Sagittal Plane,,,Midsection,Other,Compound,Unilateral,Balance
Single Arm Kettlebell Half Kneeling Clean,Video Demonstration,Video Explanation,Intermediate,Glutes,Gluteus Maximus,,,Kettlebell,1,None,0,Half Kneeling,Single Arm,Continuous,Neutral,Front Rack,No Elevation,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Full Body,Unsorted*,Compound,Unilateral,Ballistics
Single Arm Kettlebell Half Kneeling Snatch,,Video Explanation,Intermediate,Glutes,Gluteus Maximus,,,Kettlebell,1,None,0,Half Kneeling,Single Arm,Continuous,Pronated,Overhead,No Elevation,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Full Body,Unsorted*,Compound,Unilateral,Ballistics
Double Kettlebell Front Rack Alternating Curtsy Lunge,Video Demonstration,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell,2,None,0,Standing,Double Arm,Continuous,Neutral,Front Rack,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Slider Lateral Lunge,Video Demonstration,,Beginner,Adductors,Adductor Magnus,,,Sliders,1,None,0,Standing,No Arms,Continuous,No Grip,No Load,No Elevation,Single Exercise,Hip Adduction,,,Frontal Plane,,,Lower Body,Other,Compound,Unilateral,Bodybuilding
Kettlebell Bottoms Up Horn Grip Toe Balance Squat,,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell,1,None,0,Toe Balance,Double Arm,Continuous,Bottoms Up Horn Grip,Front Rack,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Bilateral,Balance
Double Kettlebell Dead Clean to Overhead Press,,Video Explanation,Intermediate,Shoulders,Anterior Deltoids,Gluteus Maximus,,Kettlebell,2,None,0,Standing,Double Arm,Continuous,Neutral,Overhead,No Elevation,Combo Exercise,Vertical Push,Hip Hinge,,Sagittal Plane,,,Full Body,Unsorted*,Compound,Bilateral,Ballistics
Double Kettlebell Dead Clean to Thruster,Video Demonstration,,Intermediate,Shoulders,Anterior Deltoids,Quadriceps Femoris,Gluteus Maximus,Kettlebell,2,None,0,Standing,Double Arm,Continuous,Neutral,Overhead,No Elevation,Combo Exercise,Vertical Push,Knee Dominant,Hip Hinge,Sagittal Plane,,,Full Body,Unsorted*,Compound,Bilateral,Ballistics
